Genus,Specific_epi,rank,Infra_epi,Syn-Genus,Syn_spc_epi,rank,Syn_infra_epi,Syn-Genus,Syn_spc_epi,rank,Syn_infra_epi,Syn-Genus,Syn_spc_epi,rank,Syn_infra_epi
Myoporum,laetum,,,,,,,,,,,,,,
Scrophularia,californica,,,,,,,,,,,,,,
Scrophularia,villosa,,,,,,,,,,,,,,
Verbascum,thapsus,,,,,,,,,,,,,,
Datura,wrightii,,,,,,,,,,,,,,
Lycium,brevipes,,,,,,,,,,,,,,
Lycium,californicum,,,,,,,,,,,,,,
Lycium,fremontii,,,,,,,,,,,,,,
Lycium,verrucosum,,,,,,,,,,,,,,
Lycopersicum,esculentum,,,,,,,,,,,,,,
Nicotiana,clevelandii,,,,,,,,,,,,,,
Nicotiana,glauca,,,,,,,,,,,,,,
Nicotiana,quadrivalvis,,,,,,,,,,,,,,
Calibrachoa,parviflora,,,Petunia,parviflora,,,,,,,,,,
Solanum,americanum,,,,,,,,,,,,,,
Solanum,douglasii,,,,,,,,,,,,,,
Solanum,elaeagnifolium,,,,,,,,,,,,,,
Solanum,wallacei,,,,,,,,,,,,,,
Tamarix,aphylla,,,,,,,,,,,,,,
Tamarix,chinensis,,,,,,,,,,,,,,
Tamarix,parviflora,,,,,,,,,,,,,,
Tamarix,ramosissima,,,,,,,,,,,,,,
Samolus,parviflorus,,,,,,,,,,,,,,
Tropaeolum,majus,,,,,,,,,,,,,,
Ulmus,xhollandica,,,,,,,,,,,,,,
Hesperocnide,tenella,,,,,,,,,,,,,,
Parietaria,hespera,,,,,,,,,,,,,,
Soleirolia,soleirolii,,,,,,,,,,,,,,
Urtica,dioica,ssp.,holosericea,,,,,,,,,,,,
Urtica,urens,,,,,,,,,,,,,,
Centranthus,ruber,,,,,,,,,,,,,,
Plectritis,ciliosa,,,,,,,,,,,,,,
Phyla,nodiflora,,,,,,,,,,,,,,
Verbena,bracteata,,,,,,,,,,,,,,
Verbena,lasiostachys,var.,lasiostachys,,,,,,,,,,,,
Verbena,lasiostachys,var.,scabrida,,,,,,,,,,,,
Viola,pedunculata,,,,,,,,,,,,,,
Vitis,girdiana,,,,,,,,,,,,,,
Tribulus,terrestris,,,,,,,,,,,,,,
